скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
756;1;Тульский пласт Тл2б;10;1988;227;7;857;124
756;1;Тульский пласт Тл2б;11;1988;200;7;1057;154
756;1;Тульский пласт Тл2б;12;1988;205;7;1262;185
935;1;Бобриковский горизонт;1;1988;6469;209;157268;555
935;1;Бобриковский горизонт;2;1988;6455;223;163723;584
935;1;Бобриковский горизонт;3;1988;8194;264;171917;615
935;1;Бобриковский горизонт;4;1988;4864;162;176781;645
935;1;Бобриковский горизонт;5;1988;4322;139;181103;676
935;1;Бобриковский горизонт;6;1988;8489;283;189592;706
935;1;Бобриковский горизонт;7;1988;8873;286;198465;737
935;1;Бобриковский горизонт;8;1988;8672;280;207137;768
935;1;Бобриковский горизонт;9;1988;8321;277;215458;798
935;1;Бобриковский горизонт;10;1988;9446;305;224904;829
935;1;Бобриковский горизонт;11;1988;8306;277;233210;859
935;1;Бобриковский горизонт;12;1988;8518;275;241728;890
937;1;Бобриковский горизонт;1;1988;5628;182;172872;568
937;1;Бобриковский горизонт;2;1988;5616;194;178488;597
937;1;Бобриковский горизонт;3;1988;7128;230;185616;628
937;1;Бобриковский горизонт;4;1988;4236;141;189852;658
937;1;Бобриковский горизонт;5;1988;3762;121;193614;689
937;1;Бобриковский горизонт;6;1988;7390;246;201004;719
937;1;Бобриковский горизонт;7;1988;7724;249;208728;750
937;1;Бобриковский горизонт;8;1988;7550;244;216278;781
937;1;Бобриковский горизонт;9;1988;7248;242;223526;811
937;1;Бобриковский горизонт;10;1988;8231;266;231757;842
937;1;Бобриковский горизонт;11;1988;7237;241;238994;872
937;1;Бобриковский горизонт;12;1988;7421;239;246415;903
763;1;Бобриковский горизонт;8;1988;31;31;31;1
763;1;Бобриковский горизонт;9;1988;924;31;955;31
763;1;Бобриковский горизонт;10;1988;1049;34;2004;62
763;1;Бобриковский горизонт;11;1988;922;31;2926;92
763;1;Бобриковский горизонт;12;1988;946;31;3872;123
785;1;Бобриковский горизонт;11;1988;802;27;802;30
785;1;Бобриковский горизонт;12;1988;823;27;1625;61
910;1;Бобриковский горизонт;1;1988;0;0;9225;134
910;1;Бобриковский горизонт;2;1988;0;0;9225;134
910;1;Бобриковский горизонт;3;1988;0;0;9225;134
910;1;Бобриковский горизонт;4;1988;144;144;9369;135
910;1;Бобриковский горизонт;5;1988;3847;124;13216;166
910;1;Бобриковский горизонт;6;1988;7556;252;20772;196
910;1;Бобриковский горизонт;7;1988;4973;160;25745;227
910;1;Бобриковский горизонт;8;1988;4859;157;30604;258
910;1;Бобриковский горизонт;9;1988;4663;155;35267;288
910;1;Бобриковский горизонт;10;1988;5293;171;40560;319
910;1;Бобриковский горизонт;11;1988;4654;155;45214;349
910;1;Бобриковский горизонт;12;1988;4773;154;49987;380
918;1;Бобриковский горизонт;9;1988;25;25;25;1
918;1;Бобриковский горизонт;10;1988;871;28;896;32
918;1;Бобриковский горизонт;11;1988;765;26;1661;62
918;1;Бобриковский горизонт;12;1988;785;25;2446;93
927;1;Бобриковский горизонт;1;1988;6262;202;128352;427
927;1;Бобриковский горизонт;2;1988;6248;215;134600;456
927;1;Бобриковский горизонт;3;1988;7931;256;142531;487
927;1;Бобриковский горизонт;4;1988;4183;139;146714;517
927;1;Бобриковский горизонт;5;1988;3717;120;150431;548
927;1;Бобриковский горизонт;6;1988;7301;243;157732;578
927;1;Бобриковский горизонт;7;1988;7631;246;165363;609
927;1;Бобриковский горизонт;8;1988;7458;241;172821;640
927;1;Бобриковский горизонт;9;1988;7156;239;179977;670
927;1;Бобриковский горизонт;10;1988;8123;262;188100;701
927;1;Бобриковский горизонт;11;1988;7144;238;195244;731
927;1;Бобриковский горизонт;12;1988;7326;236;202570;762
756;1;Бобриковский горизонт;6;1988;49;49;49;1
756;1;Бобриковский горизонт;7;1988;1429;46;1478;32
756;1;Бобриковский горизонт;8;1988;1396;45;2874;63
756;1;Бобриковский горизонт;9;1988;1340;45;4214;93
756;1;Бобриковский горизонт;10;1988;1522;49;5736;124
756;1;Бобриковский горизонт;11;1988;1338;45;7074;154
756;1;Бобриковский горизонт;12;1988;1372;44;8446;185
704;1;Турнейский пласт Т1;6;1988;56;56;56;1
704;1;Турнейский пласт Т1;7;1988;1150;37;1206;32
704;1;Турнейский пласт Т1;8;1988;1124;36;2330;63
704;1;Турнейский пласт Т1;9;1988;1078;36;3408;93
704;1;Турнейский пласт Т1;10;1988;34;1;3442;124
704;1;Турнейский пласт Т1;11;1988;30;1;3472;154
704;1;Турнейский пласт Т1;12;1988;31;1;3503;185
726;1;Турнейский пласт Т1;6;1988;56;56;56;1
726;1;Турнейский пласт Т1;7;1988;1314;42;1370;32
726;1;Турнейский пласт Т1;8;1988;1284;41;2654;63
726;1;Турнейский пласт Т1;9;1988;1232;41;3886;93
726;1;Турнейский пласт Т1;10;1988;34;1;3920;124
726;1;Турнейский пласт Т1;11;1988;30;1;3950;154
726;1;Турнейский пласт Т1;12;1988;31;1;3981;185
764;1;Турнейский пласт Т1;7;1988;159;32;159;5
764;1;Турнейский пласт Т1;8;1988;963;31;1122;36
